,Day/Eve,Number 1,Number 2,Number 3,Date
1188,E,0.0,5.0,7.0,2017-11-06
1190,E,0.0,9.0,9.0,2017-11-05
1192,E,5.0,9.0,5.0,2017-11-04
1194,E,7.0,4.0,8.0,2017-11-03
1196,E,1.0,4.0,6.0,2017-11-02
1198,E,6.0,9.0,7.0,2017-11-01
1200,E,5.0,4.0,5.0,2017-10-31
1202,E,9.0,2.0,7.0,2017-10-30
1204,E,1.0,1.0,8.0,2017-10-29
1206,E,5.0,5.0,3.0,2017-10-28
1208,E,0.0,7.0,8.0,2017-10-27
1210,E,1.0,8.0,3.0,2017-10-26
1212,E,3.0,6.0,6.0,2017-10-25
1214,E,6.0,0.0,6.0,2017-10-24
1216,E,9.0,8.0,9.0,2017-10-23
1218,E,6.0,2.0,6.0,2017-10-22
1220,E,0.0,5.0,4.0,2017-10-21
1222,E,6.0,4.0,1.0,2017-10-20
1224,E,7.0,0.0,6.0,2017-10-19
1226,E,5.0,2.0,2.0,2017-10-18
1228,E,6.0,8.0,3.0,2017-10-17
1230,E,9.0,0.0,1.0,2017-10-16
1232,E,6.0,5.0,4.0,2017-10-15
1234,E,6.0,2.0,2.0,2017-10-14
1236,E,0.0,5.0,5.0,2017-10-13
1238,E,0.0,4.0,8.0,2017-10-12
1240,E,9.0,9.0,4.0,2017-10-11
1242,E,7.0,3.0,6.0,2017-10-10
1244,E,5.0,6.0,2.0,2017-10-09
1246,E,3.0,5.0,0.0,2017-10-08
1248,E,6.0,2.0,2.0,2017-10-07
1250,E,2.0,5.0,1.0,2017-10-06
1252,E,4.0,7.0,0.0,2017-10-05
1254,E,2.0,1.0,2.0,2017-10-04
1256,E,1.0,8.0,9.0,2017-10-03
1258,E,7.0,3.0,6.0,2017-10-02
1260,E,9.0,4.0,0.0,2017-10-01
1262,E,5.0,8.0,1.0,2017-09-30
1264,E,8.0,4.0,8.0,2017-09-29
1266,E,9.0,8.0,2.0,2017-09-28
1268,E,9.0,3.0,9.0,2017-09-27
1270,E,6.0,1.0,8.0,2017-09-26
1272,E,3.0,1.0,4.0,2017-09-25
1274,E,4.0,8.0,7.0,2017-09-24
1276,E,0.0,1.0,7.0,2017-09-23
1278,E,9.0,4.0,6.0,2017-09-22
1280,E,3.0,6.0,3.0,2017-09-21
1282,E,4.0,1.0,9.0,2017-09-20
1284,E,0.0,5.0,4.0,2017-09-19
1286,E,5.0,1.0,9.0,2017-09-18
1288,E,0.0,7.0,3.0,2017-09-17
1290,E,5.0,8.0,1.0,2017-09-16
1292,E,6.0,1.0,4.0,2017-09-15
1294,E,6.0,2.0,9.0,2017-09-14
1296,E,0.0,5.0,0.0,2017-09-13
1298,E,5.0,5.0,6.0,2017-09-12
1300,E,9.0,9.0,0.0,2017-09-11
1302,E,0.0,9.0,1.0,2017-09-10
1304,E,9.0,8.0,2.0,2017-09-09
1306,E,0.0,8.0,0.0,2017-09-08
1308,E,7.0,0.0,0.0,2017-09-07
1310,E,1.0,7.0,5.0,2017-09-06
1312,E,7.0,2.0,0.0,2017-09-05
1314,E,2.0,8.0,8.0,2017-09-04
1316,E,5.0,2.0,4.0,2017-09-03
1318,E,3.0,3.0,5.0,2017-09-02
1320,E,3.0,1.0,8.0,2017-09-01
1322,E,8.0,4.0,6.0,2017-08-31
1324,E,1.0,7.0,7.0,2017-08-30
1326,E,3.0,2.0,5.0,2017-08-29
1328,E,1.0,0.0,3.0,2017-08-28
1330,E,1.0,8.0,4.0,2017-08-27
1332,E,4.0,4.0,7.0,2017-08-26
1334,E,3.0,5.0,4.0,2017-08-25
1336,E,7.0,3.0,5.0,2017-08-24
1338,E,7.0,9.0,9.0,2017-08-23
1340,E,5.0,6.0,7.0,2017-08-22
1342,E,2.0,4.0,6.0,2017-08-21
1344,E,5.0,8.0,4.0,2017-08-20
1346,E,3.0,9.0,4.0,2017-08-19
1348,E,2.0,9.0,9.0,2017-08-18
1350,E,6.0,9.0,8.0,2017-08-17
1352,E,0.0,0.0,5.0,2017-08-16
1354,E,0.0,4.0,5.0,2017-08-15
1356,E,1.0,0.0,4.0,2017-08-14
1358,E,4.0,4.0,1.0,2017-08-13
1360,E,7.0,8.0,8.0,2017-08-12
1362,E,1.0,2.0,7.0,2017-08-11
1364,E,3.0,1.0,9.0,2017-08-10
1366,E,9.0,9.0,5.0,2017-08-09
1368,E,5.0,7.0,1.0,2017-08-08
1370,E,2.0,6.0,9.0,2017-08-07
1372,E,1.0,1.0,9.0,2017-08-06
1374,E,7.0,4.0,5.0,2017-08-05
1376,E,5.0,2.0,0.0,2017-08-04
1378,E,4.0,1.0,0.0,2017-08-03
1380,E,2.0,1.0,8.0,2017-08-02
1382,E,7.0,5.0,8.0,2017-08-01
1384,E,9.0,6.0,1.0,2017-07-31
1386,E,2.0,7.0,4.0,2017-07-30
1388,E,6.0,0.0,0.0,2017-07-29
1390,E,5.0,9.0,2.0,2017-07-28
1392,E,2.0,4.0,8.0,2017-07-27
1394,E,8.0,3.0,4.0,2017-07-26
1396,E,1.0,9.0,7.0,2017-07-25
1398,E,7.0,0.0,1.0,2017-07-24
1400,E,0.0,2.0,4.0,2017-07-23
1402,E,1.0,1.0,4.0,2017-07-22
1404,E,0.0,5.0,7.0,2017-07-21
1406,E,4.0,5.0,5.0,2017-07-20
1408,E,1.0,9.0,1.0,2017-07-19
1410,E,2.0,6.0,4.0,2017-07-18
1412,E,7.0,3.0,7.0,2017-07-17
1414,E,0.0,7.0,4.0,2017-07-16
1416,E,4.0,9.0,8.0,2017-07-15
1418,E,3.0,4.0,0.0,2017-07-14
1420,E,2.0,0.0,9.0,2017-07-13
1422,E,6.0,4.0,1.0,2017-07-12
1424,E,5.0,5.0,4.0,2017-07-11
1426,E,1.0,2.0,0.0,2017-07-10
1428,E,8.0,1.0,3.0,2017-07-09
1430,E,0.0,7.0,0.0,2017-07-08
1432,E,3.0,8.0,8.0,2017-07-07
1434,E,3.0,7.0,2.0,2017-07-06
1436,E,7.0,6.0,8.0,2017-07-05
1438,E,4.0,7.0,4.0,2017-07-04
1440,E,4.0,1.0,5.0,2017-07-03
1442,E,4.0,2.0,0.0,2017-07-02
1444,E,0.0,4.0,3.0,2017-07-01
1446,E,8.0,9.0,7.0,2017-06-30
1448,E,1.0,0.0,3.0,2017-06-29
1450,E,0.0,9.0,1.0,2017-06-28
1452,E,0.0,5.0,8.0,2017-06-27
1454,E,1.0,6.0,9.0,2017-06-26
1456,E,4.0,3.0,4.0,2017-06-25
1458,E,3.0,0.0,7.0,2017-06-24
1460,E,6.0,2.0,6.0,2017-06-23
1462,E,1.0,1.0,0.0,2017-06-22
1464,E,6.0,9.0,1.0,2017-06-21
1466,E,3.0,5.0,5.0,2017-06-20
1468,E,2.0,9.0,7.0,2017-06-19
1470,E,8.0,3.0,5.0,2017-06-18
1472,E,8.0,2.0,3.0,2017-06-17
1474,E,2.0,6.0,6.0,2017-06-16
1476,E,5.0,9.0,3.0,2017-06-15
1478,E,4.0,2.0,9.0,2017-06-14
1480,E,4.0,2.0,2.0,2017-06-13
1482,E,5.0,3.0,4.0,2017-06-12
1484,E,3.0,9.0,9.0,2017-06-11
1486,E,0.0,0.0,5.0,2017-06-10
1488,E,8.0,7.0,4.0,2017-06-09
1490,E,4.0,4.0,4.0,2017-06-08
1492,E,3.0,5.0,4.0,2017-06-07
1494,E,3.0,1.0,7.0,2017-06-06
1496,E,5.0,7.0,8.0,2017-06-05
1498,E,4.0,1.0,6.0,2017-06-04
1500,E,9.0,0.0,3.0,2017-06-03
1502,E,4.0,5.0,2.0,2017-06-02
1504,E,2.0,6.0,3.0,2017-06-01
1506,E,4.0,4.0,6.0,2017-05-31
1508,E,0.0,0.0,1.0,2017-05-30
1510,E,7.0,7.0,6.0,2017-05-29
1512,E,1.0,3.0,9.0,2017-05-28
1514,E,3.0,6.0,3.0,2017-05-27
1516,E,5.0,2.0,6.0,2017-05-26
1518,E,0.0,1.0,9.0,2017-05-25
1520,E,2.0,5.0,4.0,2017-05-24
1522,E,3.0,5.0,5.0,2017-05-23
1524,E,5.0,5.0,8.0,2017-05-22
1526,E,0.0,9.0,2.0,2017-05-21
1528,E,7.0,1.0,4.0,2017-05-20
1530,E,9.0,3.0,6.0,2017-05-19
1532,E,5.0,5.0,9.0,2017-05-18
1534,E,8.0,9.0,0.0,2017-05-17
1536,E,2.0,6.0,0.0,2017-05-16
1538,E,0.0,5.0,4.0,2017-05-15
1540,E,3.0,4.0,4.0,2017-05-14
1542,E,6.0,9.0,3.0,2017-05-13
1544,E,4.0,9.0,1.0,2017-05-12
1546,E,5.0,0.0,1.0,2017-05-11
1548,E,6.0,0.0,3.0,2017-05-10
1550,E,0.0,2.0,8.0,2017-05-09
1552,E,4.0,0.0,2.0,2017-05-08
1554,E,9.0,8.0,5.0,2017-05-07
1556,E,1.0,4.0,8.0,2017-05-06
1558,E,2.0,1.0,7.0,2017-05-05
1560,E,9.0,7.0,1.0,2017-05-04
1562,E,3.0,2.0,7.0,2017-05-03
1564,E,7.0,0.0,5.0,2017-05-02
1566,E,7.0,3.0,1.0,2017-05-01
1568,E,2.0,9.0,6.0,2017-04-30
1570,E,4.0,7.0,5.0,2017-04-29
1572,E,8.0,3.0,1.0,2017-04-28
1574,E,6.0,3.0,5.0,2017-04-27
1576,E,2.0,9.0,9.0,2017-04-26
1578,E,8.0,1.0,4.0,2017-04-25
1580,E,6.0,9.0,7.0,2017-04-24
1582,E,4.0,5.0,5.0,2017-04-23
1584,E,0.0,2.0,7.0,2017-04-22
1586,E,8.0,3.0,1.0,2017-04-21
1588,E,5.0,6.0,9.0,2017-04-20
1590,E,3.0,6.0,1.0,2017-04-19
1592,E,3.0,9.0,3.0,2017-04-18
1594,E,7.0,4.0,0.0,2017-04-17
1596,E,9.0,4.0,0.0,2017-04-16
1598,E,9.0,2.0,6.0,2017-04-15
1600,E,7.0,5.0,6.0,2017-04-14
1602,E,3.0,1.0,8.0,2017-04-13
1604,E,7.0,3.0,5.0,2017-04-12
1606,E,0.0,6.0,4.0,2017-04-11
1608,E,0.0,7.0,5.0,2017-04-10
1610,E,4.0,6.0,8.0,2017-04-09
1612,E,6.0,6.0,0.0,2017-04-08
1614,E,1.0,9.0,6.0,2017-04-07
1616,E,4.0,6.0,9.0,2017-04-06
1618,E,2.0,2.0,0.0,2017-04-05
1620,E,9.0,6.0,5.0,2017-04-04
1622,E,2.0,9.0,2.0,2017-04-03
1624,E,0.0,7.0,6.0,2017-04-02
1626,E,5.0,5.0,9.0,2017-04-01
1628,E,2.0,6.0,9.0,2017-03-31
1630,E,9.0,3.0,9.0,2017-03-30
1631,E,4.0,8.0,9.0,2017-03-30
1633,E,5.0,3.0,6.0,2017-03-29
1635,E,4.0,4.0,2.0,2017-03-28
1637,E,4.0,6.0,1.0,2017-03-27
1639,E,5.0,6.0,7.0,2017-03-26
1641,E,7.0,0.0,3.0,2017-03-25
1643,E,0.0,4.0,4.0,2017-03-24
1644,E,0.0,8.0,5.0,2017-03-24
1646,E,0.0,0.0,1.0,2017-03-23
1648,E,5.0,1.0,3.0,2017-03-22
1650,E,6.0,8.0,8.0,2017-03-21
1652,E,8.0,9.0,1.0,2017-03-20
1654,E,1.0,9.0,7.0,2017-03-19
1655,E,0.0,1.0,4.0,2017-03-19
1657,E,9.0,6.0,1.0,2017-03-18
1659,E,2.0,2.0,8.0,2017-03-17
1661,E,7.0,3.0,7.0,2017-03-16
1663,E,6.0,0.0,2.0,2017-03-15
1665,E,4.0,7.0,0.0,2017-03-14
1666,E,7.0,4.0,3.0,2017-03-14
1668,E,2.0,1.0,7.0,2017-03-13
1670,E,1.0,9.0,7.0,2017-03-12
1672,E,9.0,5.0,8.0,2017-03-11
1674,E,6.0,9.0,5.0,2017-03-10
1676,E,1.0,2.0,4.0,2017-03-09
1678,E,1.0,9.0,5.0,2017-03-08
1679,E,1.0,3.0,9.0,2017-03-08
1681,E,3.0,8.0,2.0,2017-03-07
1683,E,9.0,7.0,6.0,2017-03-06
1685,E,3.0,3.0,4.0,2017-03-05
1687,E,9.0,0.0,6.0,2017-03-04
1688,E,4.0,0.0,0.0,2017-03-04
1690,E,7.0,7.0,6.0,2017-03-03
1692,E,4.0,2.0,8.0,2017-03-02
1694,E,2.0,5.0,2.0,2017-03-01
1696,E,0.0,0.0,0.0,2017-02-28
1698,E,4.0,1.0,1.0,2017-02-27
1700,E,0.0,9.0,6.0,2017-02-26
1702,E,5.0,3.0,2.0,2017-02-25
1704,E,3.0,3.0,5.0,2017-02-24
1706,E,4.0,3.0,5.0,2017-02-23
1708,E,5.0,5.0,6.0,2017-02-22
1710,E,0.0,6.0,6.0,2017-02-21
1712,E,8.0,5.0,8.0,2017-02-20
1714,E,3.0,0.0,2.0,2017-02-19
1716,E,6.0,6.0,7.0,2017-02-18
1718,E,7.0,5.0,8.0,2017-02-17
1720,E,8.0,4.0,0.0,2017-02-16
1722,E,7.0,5.0,3.0,2017-02-15
1724,E,6.0,0.0,6.0,2017-02-14
1726,E,6.0,8.0,9.0,2017-02-13
1728,E,8.0,0.0,1.0,2017-02-12
1730,E,1.0,7.0,6.0,2017-02-11
1732,E,9.0,6.0,6.0,2017-02-10
1734,E,9.0,3.0,3.0,2017-02-09
1736,E,6.0,2.0,9.0,2017-02-08
1738,E,5.0,8.0,3.0,2017-02-07
1740,E,5.0,3.0,1.0,2017-02-06
1742,E,4.0,8.0,9.0,2017-02-05
1744,E,7.0,0.0,1.0,2017-02-04
1746,E,2.0,6.0,4.0,2017-02-03
1748,E,3.0,5.0,0.0,2017-02-02
1750,E,3.0,5.0,3.0,2017-02-01
1752,E,8.0,1.0,2.0,2017-01-31
1754,E,1.0,8.0,2.0,2017-01-30
1756,E,9.0,4.0,4.0,2017-01-29
1758,E,6.0,0.0,9.0,2017-01-28
1760,E,5.0,4.0,9.0,2017-01-27
1762,E,9.0,1.0,4.0,2017-01-26
1764,E,2.0,2.0,4.0,2017-01-25
1766,E,4.0,0.0,1.0,2017-01-24
1768,E,6.0,3.0,2.0,2017-01-23
1770,E,6.0,0.0,6.0,2017-01-22
1772,E,1.0,5.0,6.0,2017-01-21
1774,E,8.0,9.0,1.0,2017-01-20
1776,E,8.0,6.0,1.0,2017-01-19
1778,E,2.0,4.0,4.0,2017-01-18
1780,E,5.0,2.0,3.0,2017-01-17
1782,E,9.0,0.0,3.0,2017-01-16
1784,E,3.0,0.0,8.0,2017-01-15
1786,E,0.0,2.0,0.0,2017-01-14
1788,E,5.0,9.0,7.0,2017-01-13
1790,E,1.0,2.0,5.0,2017-01-12
1792,E,7.0,2.0,5.0,2017-01-11
1794,E,0.0,3.0,2.0,2017-01-10
1796,E,1.0,5.0,7.0,2017-01-09
1798,E,9.0,0.0,1.0,2017-01-08
1800,E,9.0,7.0,7.0,2017-01-07
1802,E,1.0,9.0,5.0,2017-01-06
1804,E,6.0,2.0,2.0,2017-01-05
1806,E,8.0,3.0,3.0,2017-01-04
1808,E,0.0,1.0,3.0,2017-01-03
1810,E,8.0,5.0,6.0,2017-01-02
1812,E,1.0,8.0,5.0,2017-01-01
1814,E,8.0,7.0,6.0,2016-12-31
1816,E,4.0,6.0,2.0,2016-12-30
1818,E,1.0,3.0,5.0,2016-12-29
1820,E,7.0,6.0,5.0,2016-12-28
1822,E,9.0,6.0,4.0,2016-12-27
1824,E,6.0,0.0,1.0,2016-12-26
1826,E,4.0,6.0,1.0,2016-12-25
1828,E,3.0,9.0,8.0,2016-12-24
1830,E,9.0,6.0,5.0,2016-12-23
1832,E,5.0,4.0,7.0,2016-12-22
1834,E,6.0,0.0,4.0,2016-12-21
1836,E,1.0,2.0,8.0,2016-12-20
1838,E,3.0,0.0,9.0,2016-12-19
1840,E,1.0,2.0,6.0,2016-12-18
1842,E,1.0,2.0,1.0,2016-12-17
1844,E,8.0,8.0,9.0,2016-12-16
1846,E,5.0,6.0,9.0,2016-12-15
1848,E,8.0,8.0,9.0,2016-12-14
1850,E,7.0,8.0,6.0,2016-12-13
1852,E,0.0,6.0,6.0,2016-12-12
1854,E,2.0,6.0,9.0,2016-12-11
1856,E,5.0,0.0,0.0,2016-12-10
1858,E,2.0,7.0,6.0,2016-12-09
1860,E,4.0,7.0,6.0,2016-12-08
1862,E,5.0,7.0,1.0,2016-12-07
1864,E,7.0,7.0,5.0,2016-12-06
1866,E,9.0,6.0,9.0,2016-12-05
1868,E,7.0,1.0,5.0,2016-12-04
1870,E,5.0,6.0,7.0,2016-12-03
1872,E,4.0,5.0,8.0,2016-12-02
1874,E,0.0,0.0,9.0,2016-12-01
1876,E,9.0,0.0,4.0,2016-11-30
1878,E,6.0,4.0,1.0,2016-11-29
1880,E,9.0,7.0,3.0,2016-11-28
1882,E,1.0,5.0,3.0,2016-11-27
1884,E,9.0,8.0,5.0,2016-11-26
1886,E,4.0,3.0,3.0,2016-11-25
1888,E,7.0,4.0,0.0,2016-11-24
1890,E,9.0,1.0,5.0,2016-11-23
1892,E,7.0,8.0,6.0,2016-11-22
1894,E,7.0,4.0,2.0,2016-11-21
1896,E,2.0,6.0,2.0,2016-11-20
1898,E,8.0,7.0,8.0,2016-11-19
1900,E,0.0,8.0,2.0,2016-11-18
1902,E,0.0,5.0,3.0,2016-11-17
1904,E,4.0,8.0,2.0,2016-11-16
1906,E,5.0,6.0,4.0,2016-11-15
1908,E,2.0,7.0,7.0,2016-11-14
1910,E,8.0,8.0,2.0,2016-11-13
1912,E,3.0,2.0,7.0,2016-11-12
1914,E,3.0,1.0,9.0,2016-11-11
1916,E,9.0,7.0,1.0,2016-11-10
1918,E,6.0,5.0,4.0,2016-11-09
1920,E,3.0,3.0,0.0,2016-11-08
1922,E,6.0,7.0,4.0,2016-11-07
1924,E,2.0,8.0,7.0,2016-11-06
1926,E,0.0,2.0,1.0,2016-11-05
1928,E,2.0,2.0,1.0,2016-11-04
1930,E,5.0,6.0,3.0,2016-11-03
1932,E,2.0,4.0,5.0,2016-11-02
1934,E,6.0,6.0,9.0,2016-11-01
1936,E,4.0,4.0,8.0,2016-10-31
1938,E,3.0,3.0,4.0,2016-10-30
1940,E,7.0,5.0,9.0,2016-10-29
1942,E,2.0,3.0,0.0,2016-10-28
1944,E,8.0,7.0,2.0,2016-10-27
1946,E,1.0,2.0,6.0,2016-10-26
1948,E,8.0,4.0,2.0,2016-10-25
1950,E,6.0,0.0,7.0,2016-10-24
1952,E,8.0,4.0,3.0,2016-10-23
1954,E,5.0,2.0,7.0,2016-10-22
1956,E,0.0,3.0,3.0,2016-10-21
1958,E,7.0,6.0,3.0,2016-10-20
1960,E,9.0,1.0,7.0,2016-10-19
1962,E,2.0,8.0,0.0,2016-10-18
1964,E,1.0,5.0,1.0,2016-10-17
1966,E,2.0,4.0,1.0,2016-10-16
1968,E,6.0,4.0,3.0,2016-10-15
1970,E,0.0,7.0,3.0,2016-10-14
1972,E,6.0,5.0,0.0,2016-10-13
1974,E,5.0,4.0,2.0,2016-10-12
1976,E,1.0,9.0,1.0,2016-10-11
1978,E,2.0,2.0,7.0,2016-10-10
1980,E,3.0,1.0,5.0,2016-10-09
1982,E,7.0,9.0,5.0,2016-10-08
1984,E,7.0,3.0,2.0,2016-10-07
1986,E,6.0,7.0,1.0,2016-10-06
1988,E,0.0,6.0,8.0,2016-10-05
1990,E,6.0,2.0,2.0,2016-10-04
1992,E,8.0,6.0,5.0,2016-10-03
1994,E,8.0,8.0,9.0,2016-10-02
1996,E,3.0,3.0,1.0,2016-10-01
1998,E,0.0,1.0,4.0,2016-09-30
2000,E,5.0,9.0,7.0,2016-09-29
2002,E,7.0,7.0,0.0,2016-09-28
2004,E,1.0,5.0,7.0,2016-09-27
2006,E,6.0,9.0,0.0,2016-09-26
2008,E,2.0,6.0,2.0,2016-09-25
2010,E,3.0,7.0,1.0,2016-09-24
2012,E,2.0,3.0,1.0,2016-09-23
2014,E,0.0,9.0,8.0,2016-09-22
2016,E,0.0,9.0,9.0,2016-09-21
2018,E,0.0,6.0,9.0,2016-09-20
2020,E,0.0,0.0,0.0,2016-09-19
2022,E,6.0,3.0,3.0,2016-09-18
2024,E,6.0,0.0,8.0,2016-09-17
2026,E,4.0,4.0,2.0,2016-09-16
2028,E,7.0,9.0,5.0,2016-09-15
2030,E,5.0,2.0,8.0,2016-09-14
2032,E,0.0,6.0,1.0,2016-09-13
2034,E,6.0,9.0,5.0,2016-09-12
2036,E,1.0,9.0,3.0,2016-09-11
2038,E,6.0,4.0,7.0,2016-09-10
2040,E,6.0,2.0,4.0,2016-09-09
2042,E,5.0,9.0,0.0,2016-09-08
2044,E,7.0,3.0,1.0,2016-09-07
2046,E,6.0,4.0,3.0,2016-09-06
2048,E,8.0,6.0,6.0,2016-09-05
2050,E,8.0,6.0,1.0,2016-09-04
2052,E,4.0,9.0,9.0,2016-09-03
2054,E,2.0,3.0,7.0,2016-09-02
2056,E,8.0,7.0,2.0,2016-09-01
2058,E,9.0,7.0,5.0,2016-08-31
2060,E,0.0,7.0,9.0,2016-08-30
2062,E,3.0,6.0,1.0,2016-08-29
2064,E,1.0,5.0,6.0,2016-08-28
2066,E,3.0,4.0,4.0,2016-08-27
2068,E,1.0,7.0,5.0,2016-08-26
2070,E,0.0,1.0,2.0,2016-08-25
2072,E,6.0,0.0,7.0,2016-08-24
2074,E,6.0,1.0,4.0,2016-08-23
2076,E,1.0,9.0,8.0,2016-08-22
2078,E,8.0,6.0,9.0,2016-08-21
2080,E,7.0,3.0,7.0,2016-08-20
2082,E,7.0,8.0,8.0,2016-08-19
2084,E,5.0,6.0,6.0,2016-08-18
2086,E,7.0,8.0,2.0,2016-08-17
2088,E,0.0,9.0,0.0,2016-08-16
2090,E,1.0,1.0,4.0,2016-08-15
2092,E,2.0,5.0,4.0,2016-08-14
2094,E,2.0,5.0,7.0,2016-08-13
2096,E,0.0,2.0,2.0,2016-08-12
2098,E,4.0,7.0,8.0,2016-08-11
2100,E,0.0,2.0,4.0,2016-08-10
2102,E,4.0,8.0,1.0,2016-08-09
2104,E,7.0,9.0,1.0,2016-08-08
2106,E,0.0,4.0,0.0,2016-08-07
2108,E,6.0,9.0,7.0,2016-08-06
2110,E,1.0,0.0,6.0,2016-08-05
2112,E,8.0,3.0,2.0,2016-08-04
2114,E,2.0,4.0,3.0,2016-08-03
2116,E,0.0,2.0,8.0,2016-08-02
2118,E,9.0,8.0,1.0,2016-08-01
2120,E,4.0,9.0,4.0,2016-07-31
2122,E,5.0,6.0,7.0,2016-07-30
2124,E,4.0,1.0,2.0,2016-07-29
2126,E,9.0,7.0,0.0,2016-07-28
2128,E,9.0,9.0,4.0,2016-07-27
2130,E,4.0,8.0,6.0,2016-07-26
2132,E,5.0,5.0,5.0,2016-07-25
2134,E,5.0,6.0,8.0,2016-07-24
2136,E,4.0,7.0,3.0,2016-07-23
2138,E,4.0,2.0,6.0,2016-07-22
2140,E,7.0,4.0,4.0,2016-07-21
2142,E,5.0,6.0,4.0,2016-07-20
2144,E,1.0,3.0,4.0,2016-07-19
2146,E,2.0,0.0,1.0,2016-07-18
2148,E,5.0,5.0,1.0,2016-07-17
2150,E,3.0,2.0,2.0,2016-07-16
2152,E,6.0,4.0,1.0,2016-07-15
2154,E,5.0,2.0,7.0,2016-07-14
2156,E,4.0,1.0,4.0,2016-07-13
2158,E,5.0,3.0,7.0,2016-07-12
2160,E,0.0,5.0,4.0,2016-07-11
2162,E,4.0,6.0,9.0,2016-07-10
2164,E,4.0,1.0,2.0,2016-07-09
2166,E,6.0,8.0,4.0,2016-07-08
2168,E,1.0,4.0,0.0,2016-07-07
2170,E,3.0,1.0,2.0,2016-07-06
2172,E,3.0,4.0,2.0,2016-07-05
2174,E,4.0,0.0,4.0,2016-07-04
2176,E,4.0,1.0,8.0,2016-07-03
2178,E,9.0,7.0,5.0,2016-07-02
2180,E,8.0,8.0,7.0,2016-07-01
2182,E,4.0,8.0,4.0,2016-06-30
2184,E,9.0,9.0,0.0,2016-06-29
2186,E,1.0,2.0,4.0,2016-06-28
2188,E,0.0,0.0,2.0,2016-06-27
2190,E,4.0,3.0,2.0,2016-06-26
2192,E,1.0,7.0,0.0,2016-06-25
2194,E,3.0,0.0,1.0,2016-06-24
2196,E,6.0,2.0,4.0,2016-06-23
2198,E,6.0,2.0,7.0,2016-06-22
2200,E,9.0,5.0,6.0,2016-06-21
2202,E,9.0,5.0,6.0,2016-06-20
2204,E,8.0,7.0,2.0,2016-06-19
2206,E,4.0,4.0,9.0,2016-06-18
2208,E,5.0,2.0,8.0,2016-06-17
2210,E,8.0,7.0,9.0,2016-06-16
2212,E,9.0,6.0,5.0,2016-06-15
2214,E,4.0,2.0,0.0,2016-06-14
2216,E,6.0,1.0,0.0,2016-06-13
2218,E,1.0,6.0,3.0,2016-06-12
2220,E,5.0,6.0,6.0,2016-06-11
2222,E,7.0,6.0,6.0,2016-06-10
2224,E,1.0,3.0,4.0,2016-06-09
2226,E,1.0,0.0,2.0,2016-06-08
2228,E,4.0,6.0,5.0,2016-06-07
2230,E,2.0,9.0,6.0,2016-06-06
2232,E,7.0,8.0,8.0,2016-06-05
2234,E,6.0,3.0,0.0,2016-06-04
2236,E,3.0,2.0,6.0,2016-06-03
2238,E,2.0,0.0,5.0,2016-06-02
2240,E,6.0,5.0,7.0,2016-06-01
2242,E,7.0,8.0,3.0,2016-05-31
2244,E,4.0,3.0,1.0,2016-05-30
2246,E,3.0,4.0,2.0,2016-05-29
2248,E,1.0,9.0,7.0,2016-05-28
2250,E,3.0,8.0,4.0,2016-05-27
2252,E,1.0,7.0,4.0,2016-05-26
2254,E,2.0,1.0,8.0,2016-05-25
2256,E,0.0,6.0,8.0,2016-05-24
2258,E,1.0,5.0,0.0,2016-05-23
2260,E,0.0,1.0,9.0,2016-05-22
2262,E,5.0,3.0,7.0,2016-05-21
2264,E,4.0,0.0,3.0,2016-05-20
2266,E,9.0,7.0,6.0,2016-05-19
2268,E,6.0,0.0,1.0,2016-05-18
2270,E,5.0,3.0,3.0,2016-05-17
2272,E,6.0,7.0,8.0,2016-05-16
2274,E,6.0,7.0,5.0,2016-05-15
2276,E,9.0,6.0,7.0,2016-05-14
2278,E,0.0,2.0,8.0,2016-05-13
2280,E,7.0,6.0,1.0,2016-05-12
2282,E,1.0,9.0,0.0,2016-05-11
2284,E,8.0,8.0,1.0,2016-05-10
2286,E,7.0,4.0,2.0,2016-05-09
2288,E,4.0,5.0,5.0,2016-05-08
2290,E,7.0,7.0,1.0,2016-05-07
2292,E,3.0,2.0,4.0,2016-05-06
2294,E,4.0,1.0,0.0,2016-05-05
2296,E,5.0,6.0,3.0,2016-05-04
2298,E,4.0,8.0,0.0,2016-05-03
2300,E,2.0,8.0,1.0,2016-05-02
2302,E,4.0,1.0,1.0,2016-05-01
2304,E,7.0,8.0,2.0,2016-04-30
2306,E,7.0,7.0,1.0,2016-04-29
2308,E,2.0,8.0,8.0,2016-04-28
2310,E,4.0,3.0,6.0,2016-04-27
2312,E,3.0,8.0,8.0,2016-04-26
2314,E,7.0,7.0,9.0,2016-04-25
2316,E,1.0,0.0,0.0,2016-04-24
2318,E,9.0,9.0,8.0,2016-04-23
2320,E,6.0,4.0,1.0,2016-04-22
2322,E,0.0,0.0,6.0,2016-04-21
2324,E,4.0,9.0,2.0,2016-04-20
2326,E,3.0,3.0,5.0,2016-04-19
2328,E,2.0,9.0,8.0,2016-04-18
2330,E,1.0,1.0,9.0,2016-04-17
2332,E,9.0,0.0,9.0,2016-04-16
2334,E,2.0,7.0,2.0,2016-04-15
2336,E,2.0,5.0,4.0,2016-04-14
2338,E,3.0,9.0,2.0,2016-04-13
2340,E,3.0,4.0,6.0,2016-04-12
2342,E,8.0,3.0,3.0,2016-04-11
2344,E,4.0,9.0,1.0,2016-04-10
